jid;size;min;max;mean;stdev;quantiles:0.05;quantiles:0.25;quantiles:0.50;quantiles:0.75;quantiles:0.95;
D10;2;0.0256;0.0294;0.0275;0.0019;0.02579;0.02655;0.0275;0.02845;0.02921;
D11;2;0.0513;0.0588;0.05505;0.00375;0.051675;0.053175;0.05505;0.056925;0.058425;
D12;2;0.9118;0.9231;0.91745;0.00565;0.912365;0.914625;0.91745;0.920275;0.922535;
D00;51713;0.0;0.8168;0.036237;0.074644;0.0;0.0047;0.0146;0.0371;0.1259;
D01;51713;0.0;0.0256;0.000254;0.000802;0.0;0.0;0.0;0.0003;0.001;
D02;51713;0.0005;0.989;0.667063;0.244031;0.2691;0.4613;0.6342;0.9334;0.9799;
D03;51713;0.0;0.0769;0.000678;0.001978;0.0;0.0003;0.0005;0.0007;0.0016;
D04;51713;0.0003;0.9822;0.276935;0.250164;0.0007;0.0012;0.297;0.5141;0.6876;
D05;51713;0.0055;0.8205;0.018839;0.035534;0.0077;0.0084;0.0108;0.0171;0.0472;
U00;900;0.0;0.9975;0.29064;0.351647;0.016875;0.0833;0.1429;0.2222;0.994;
U01;900;0.0;0.2;0.023038;0.052134;0.0;0.0;0.0;0.0;0.1429;
U02;900;0.0;0.9672;0.296477;0.356484;0.0;0.0;0.125;0.6667;0.934265;
U03;900;0.0005;0.875;0.389864;0.335901;0.003;0.0263;0.3077;0.7143;0.8333;
